ID                       Instruction              FETCH                    ISSUE                    READ                     EXECUTE                  WRITE                    RAW                      WAW                      STRUCT                   I-Cache                  D-Cache
0                        LI R4 256                13                       14                       15                       16                       17                       N                        N                        N                        M                        X-X
1                        LI R5 288                14                       18                       19                       20                       21                       N                        N                        Y                        H                        X-X
2                        LI R1 3                  18                       22                       23                       24                       25                       N                        N                        Y                        H                        X-X
3                        LI R2 1                  22                       26                       27                       28                       29                       N                        N                        Y                        H                        X-X
4                        LI R3 1                  35                       36                       37                       38                       39                       N                        N                        N                        M                        X-X
5                        LI R8 264                36                       40                       41                       42                       43                       N                        N                        Y                        H                        X-X
6                        GG: L.D F1 4(R4)         40                       41                       42                       66                       67                       N                        N                        N                        H                        M-M
9                        SUB.D F5 F7 F1           69                       70                       71                       73                       74                       N                        N                        N                        H                        X-X
7                        L.D F2 8(R5)             41                       68                       69                       83                       84                       N                        N                        Y                        H                        M-M
8                        ADD.D F4 F6 F2           68                       69                       85                       87                       88                       Y                        N                        N                        M                        X-X
10                       MUL.D F6 F1 F5           70                       71                       75                       105                      106                      Y                        N                        N                        H                        X-X
11                       ADD.D F6 F1 F7           71                       107                      108                      110                      111                      N                        Y                        Y                        H                        X-X
12                       ADD.D F7 F2 F6           107                      108                      112                      114                      115                      Y                        N                        N                        M                        X-X
13                       S.D F6 0(R8)             108                      112                      113                      115                      116                      N                        Y                        N                        H                        H-H
14                       DADDI R4 R4 32           112                      113                      114                      115                      117                      N                        N                        N                        H                        X-X
15                       DADDI R5 R5 32           113                      118                      119                      120                      121                      N                        N                        Y                        H                        X-X
16                       DADDI R8 R8 24           126                      127                      128                      129                      130                      N                        N                        N                        M                        X-X
17                       DSUB R1 R1 R2            139                      140                      141                      142                      143                      N                        N                        N                        M                        X-X
18                       BNE R1 R3 GG             152                      153                      154                      0                        0                        N                        N                        N                        M                        X-X
19                       HLT                      165                      166                      167                      168                      169                      N                        N                        N                        M                        X-X
6                        GG: L.D F1 4(R4)         178                      179                      180                      192                      193                      N                        N                        N                        M                        H-H
9                        SUB.D F5 F7 F1           195                      196                      197                      199                      200                      N                        N                        N                        H                        X-X
7                        L.D F2 8(R5)             179                      194                      195                      209                      210                      N                        N                        Y                        H                        M-M
8                        ADD.D F4 F6 F2           194                      195                      211                      213                      214                      Y                        N                        N                        M                        X-X
10                       MUL.D F6 F1 F5           196                      197                      201                      231                      232                      Y                        N                        N                        H                        X-X
11                       ADD.D F6 F1 F7           197                      233                      234                      236                      237                      N                        Y                        Y                        H                        X-X
12                       ADD.D F7 F2 F6           233                      234                      238                      240                      241                      Y                        N                        N                        M                        X-X
13                       S.D F6 0(R8)             234                      238                      239                      241                      242                      N                        Y                        N                        H                        H-H
14                       DADDI R4 R4 32           238                      239                      240                      241                      243                      N                        N                        N                        H                        X-X
15                       DADDI R5 R5 32           239                      244                      245                      246                      247                      N                        N                        Y                        H                        X-X
16                       DADDI R8 R8 24           244                      248                      249                      250                      251                      N                        N                        Y                        M                        X-X
17                       DSUB R1 R1 R2            257                      258                      259                      260                      261                      N                        N                        N                        M                        X-X
18                       BNE R1 R3 GG             270                      271                      272                      0                        0                        N                        N                        N                        M                        X-X
19                       HLT                      283                      284                      285                      286                      287                      N                        N                        N                        M                        X-X

Total number of I-Cache hits: 12
Total number of I-Cache misses: 15
